submission_id,Question Submission ID,Name,SID,Score,Submission Time,Well done summarizing your coding journey so far! Keep it up!,Those are some great insights into your development. Well done!,We're glad that you overcame the struggles you faced this week!,Don't forget you can also reach out to a coach! Schedule a call with a coach at calendly.com/joyofcodinghlep/ask-a-coach,Please answer the questions and resubmit.,"We'd love to read the answers to your reflection prompts. We get that this reflecting on a success *after* one has surmounted it can feel unnecessary.   Yet, this simple act of reflecting on how/why/what you did what you did to solve a problem has the magical effect of your brain operating at a higher level -- the act of reflecting literally strengthens the ""learn to code"" part of your brain ! So do share with us these answers now, or in future codices. It's never required - just, strongly encouraged because of all of the above :-)",Adjustment,Comments,Grader,Tags
128625950,1116734307,Student CVR7 KME2,,0,2022/6/28 9:13,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,Joy of Coding Grader,
128626556,1119888810,Student EUG9 RYJ2,,0,2022/7/11 16:45,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,Joy of Coding Grader,
128626840,1115024129,Student BHP1 VMY4,,0,2022/6/22 9:42,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,,Ashley Fernandes,
128626871,1115020251,Student RVH9 ZBP6,,0,2022/6/22 9:31,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,,Ashley Fernandes,
128627805,1115341996,Student UQS8 XCH7,,0,2022/6/23 3:03,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,,Ashley Fernandes,
128628511,1115039487,Student LVM4 CNQ1,,0,2022/6/22 9:54,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,,Ashley Fernandes,
128629153,1115041245,Student BJK9 ADH3,,0,2022/6/22 9:58,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,,Ashley Fernandes,
128629177,1115045305,Student PWL5 UMN6,,0,2022/6/22 10:03,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Joy of Coding Grader,
128629390,1115055882,Student JHC7 DWK2,,0,2022/6/22 10:28,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,,Ashley Fernandes,
128629730,1115372414,Student GFW8 FQZ8,,0,2022/6/23 7:22,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,Joy of Coding Grader,
128630494,1120164748,Student TNS6 ZUM9,,0,2022/7/12 17:27,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,,,Joy of Coding Grader,
128630543,1115057078,Student WEX8 VBQ1,,0,2022/6/22 10:32,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,Ashley Fernandes,
128630885,1115056571,Student CJS8 SKG9,,0,2022/6/22 10:31,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Ashley Fernandes,
128631712,1116814563,Student RVT1 BAL8,,0,2022/6/28 14:19,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,,,Joy of Coding Grader,
128632144,1116456281,Student UNQ6 PAG7,,0,2022/6/27 17:10,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Joy of Coding Grader,
128632536,1115068146,Student XUZ6 TLF8,,0,2022/6/22 11:22,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,Ashley Fernandes,
128633142,1115073910,Student MYU8 EPQ8,,0,2022/6/22 11:46,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Ashley Fernandes,
128633314,1115074591,Student UAS7 ERP7,,0,2022/6/22 11:50,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,Ashley Fernandes,
128633370,1116719086,Student QLV9 VKU5,,0,2022/6/28 8:27,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,,Joy of Coding Grader,
128634117,1117314498,Student MEP7 ZTR9,,0,2022/6/30 9:11,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,,,Joy of Coding Grader,
128634311,1115082956,Student SMT3 RMZ1,,0,2022/6/22 12:17,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,,Ashley Fernandes,
128634976,1115087300,Student CUC1 YRA7,,0,2022/6/22 12:33,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,Ashley Fernandes,
128635528,1115090805,Student YTB2 JNQ6,,0,2022/6/22 12:46,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,,Ashley Fernandes,
128635998,1117621406,Student LXV9 YNX2,,0,2022/7/1 8:40,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,Joy of Coding Grader,
128636120,1116736006,Student FJU1 RCY1,,0,2022/6/28 9:24,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,Joy of Coding Grader,
128636982,1115101314,Student GYX1 VZZ1,,0,2022/6/22 13:28,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,,Ashley Fernandes,
128637269,1117492155,Student CMD6 TYB3,,0,2022/6/30 19:06,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,Joy of Coding Grader,
128637487,1115411324,Student BUQ7 PBX5,,0,2022/6/23 10:16,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,,Joy of Coding Grader,
128637703,1115103795,Student KEL4 SKR4,,0,2022/6/22 13:46,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,,Ashley Fernandes,
128638098,1115126138,Student EWW1 TWM7,,0,2022/6/22 15:36,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,,Ashley Fernandes,
128638273,1119363938,Student DCC7 JWF1,,0,2022/7/8 19:00,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,Joy of Coding Grader,
